Player,Team,Match Up,Game Date,win_loss,MIN,OffRtg,DefRtg,NetRtg,AST%,AST_TOV,AST_Ratio,OREB%,DREB%,REB%,TOV_Ratio,eFG%,TS%,USG%,PACE,PACE_40,PIE,season_type
Aaliyah Nye,LVA,LVA @ PHX,8/15/2025,W,11,109.5,152.4,-42.9,0.286,0,0.500,0.111,0.200,0.143,0.000,0.500,0.500,0.087,89.7,74.8,6.9,2
Aaliyah Nye,LVA,LVA vs. NYL,8/13/2025,W,11,110,89.5,20.5,0.000,0,0.000,0.077,0.000,0.040,0.143,0.250,0.250,0.292,85.4,71.1,-6,2
Aaliyah Nye,LVA,LVA vs. CON,8/10/2025,W,7,78.6,100,-21.4,0.250,1,0.250,0.125,0.400,0.231,0.250,0.000,0.000,0.176,98.3,82.0,1.9,2
Aaliyah Nye,LVA,LVA vs. SEA,8/8/2025,W,8,71.4,130.8,-59.3,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.8,71.5,-4.4,2
Aaliyah Nye,LVA,LVA @ GSV,8/6/2025,W,15,80.6,84.8,-4.2,0.111,1,0.143,0.000,0.071,0.034,0.143,0.000,0.000,0.171,101.6,84.7,-18.2,2
Aaliyah Nye,LVA,LVA vs. GSV,8/3/2025,W,19,143.2,102.5,40.7,0.067,1,0.125,0.100,0.167,0.136,0.125,0.667,0.667,0.146,97.0,80.8,12.4,2
Aaliyah Nye,LVA,LVA vs. MIN,8/2/2025,L,21,70.7,126.8,-56.1,0.111,0,0.143,0.000,0.105,0.047,0.000,0.500,0.500,0.130,93.0,77.5,7.4,2
Aaliyah Nye,LVA,LVA @ LAS,7/29/2025,W,10,54.5,95.7,-41.1,0.000,0,0.000,0.000,0.154,0.080,0.333,0.375,0.375,0.273,113.5,94.6,0,2
Aaliyah Nye,LVA,LVA @ DAL,7/27/2025,W,15,153.3,89.7,63.7,0.000,0,0.000,0.083,0.095,0.091,0.000,0.500,0.500,0.083,97.5,81.3,5.6,2
Aaliyah Nye,LVA,LVA @ MIN,7/25/2025,L,24,91.8,129.2,-37.3,0.000,0,0.000,0.037,0.111,0.067,0.111,0.357,0.444,0.164,99.0,82.5,4.1,2
Aaliyah Nye,LVA,LVA @ IND,7/24/2025,L,16,54.3,83.9,-29.6,0.000,0,0.000,0.043,0.048,0.045,0.250,0.000,0.000,0.095,96.6,80.5,-6.1,2
Aaliyah Nye,LVA,LVA vs. ATL,7/22/2025,W,14,63.3,103.4,-40.1,0.200,0.5,0.167,0.000,0.071,0.034,0.333,0.333,0.333,0.161,103.7,86.5,-2.7,2
Aaliyah Nye,LVA,LVA @ DAL,7/16/2025,W,23,117.6,107.7,10,0.063,1,0.091,0.000,0.069,0.036,0.091,0.722,0.722,0.167,105.9,88.3,8.6,2
Aaliyah Nye,LVA,LVA vs. GSV,7/12/2025,W,20,120.9,117.9,3,0.000,0,0.000,0.071,0.111,0.094,0.333,0.500,0.500,0.128,99.2,82.6,1.8,2
Aaliyah Nye,LVA,LVA @ WAS,7/10/2025,L,14,83.9,76.7,7.2,0.125,0,0.500,0.000,0.143,0.071,0.000,1.000,1.000,0.029,101.9,84.9,19,2
Aaliyah Nye,LVA,LVA @ NYL,7/8/2025,L,18,85.3,105.6,-20.3,0.100,0,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.081,91.8,76.5,-7.9,2
Aaliyah Nye,LVA,LVA @ CON,7/6/2025,W,21,90.2,85,5.2,0.000,0,0.000,0.000,0.000,0.000,0.286,0.500,0.500,0.156,94.5,78.8,-1.8,2
Aaliyah Nye,LVA,LVA @ IND,7/3/2025,L,26,62.5,110,-47.5,0.375,1.5,0.300,0.000,0.133,0.042,0.200,0.300,0.368,0.119,90.0,75.0,2.1,2
Aaliyah Nye,LVA,LVA @ PHX,6/29/2025,W,20,138.5,110.5,27.9,0.000,0,0.000,0.000,0.048,0.027,0.000,1.071,1.015,0.178,92.4,77.0,14.7,2
Aaliyah Nye,LVA,LVA vs. WAS,6/26/2025,L,22,113,122.7,-9.7,0.000,0,0.000,0.000,0.176,0.083,0.000,0.333,0.333,0.063,99.0,82.5,2.1,2
Aaliyah Nye,LVA,LVA vs. CON,6/25/2025,W,23,89.1,63.8,25.3,0.154,2,0.286,0.000,0.061,0.035,0.143,0.000,0.000,0.094,97.5,81.2,-6,2
Aaliyah Nye,LVA,LVA vs. IND,6/22/2025,W,27,112.1,94.5,17.5,0.000,0,0.000,0.000,0.000,0.000,0.000,0.786,0.786,0.106,102.2,85.2,8.2,2
Aaliyah Nye,LVA,LVA vs. SEA,6/20/2025,L,24,110.2,114.6,-4.4,0.000,0,0.000,0.050,0.000,0.022,0.100,0.722,0.722,0.185,96.3,80.3,7,2
Aaliyah Nye,LVA,LVA @ MIN,6/17/2025,L,15,82.8,132.1,-49.4,0.000,0,0.000,0.071,0.111,0.094,0.167,0.700,0.700,0.182,90.7,75.6,12.7,2
Aaliyah Nye,LVA,LVA vs. PHX,6/15/2025,L,15,93.5,100,-6.5,0.222,0,0.400,0.000,0.053,0.026,0.000,0.000,0.258,0.077,95.1,79.2,-1.2,2
Aaliyah Nye,LVA,LVA vs. DAL,6/13/2025,W,22,126.5,91.7,34.9,0.000,0,0.000,0.000,0.190,0.098,0.143,0.417,0.417,0.123,107.4,89.5,2.5,2
Aaliyah Nye,LVA,LVA vs. LAS,6/11/2025,L,21,118.2,122.9,-4.7,0.000,0,0.000,0.091,0.071,0.083,0.000,0.000,0.000,0.082,104.6,87.1,-5.2,2
Aaliyah Nye,LVA,LVA @ GSV,6/7/2025,L,26,83.3,109.3,-25.9,0.091,0.5,0.077,0.000,0.077,0.037,0.154,0.611,0.658,0.203,99.0,82.5,8.5,2
Aaliyah Nye,LVA,LVA @ SEA,6/1/2025,W,11,100,72,28,0.000,0,0.000,0.000,0.200,0.059,0.000,0.583,0.644,0.269,104.4,87.0,23.3,2
Aaliyah Nye,LVA,LVA vs. LAS,5/30/2025,W,6,91.7,136.4,-44.7,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.8,83.1,0,2
Aaliyah Nye,LVA,LVA @ SEA,5/25/2025,L,18,120,108.3,11.7,0.091,0,0.250,0.000,0.000,0.000,0.000,1.500,1.215,0.077,96.8,80.7,7.2,2
Aaliyah Nye,LVA,LVA vs. WAS,5/23/2025,W,10,95.2,59.1,36.1,0.000,0,0.000,0.000,0.091,0.040,0.000,0.000,0.000,0.080,107.9,89.9,-5.6,2
Aaliyah Nye,LVA,LVA @ CON,5/20/2025,W,12,66.7,88,-21.3,0.000,0,0.000,0.000,0.000,0.000,0.250,0.500,0.500,0.160,98.1,81.8,-3.6,2
Aaliyah Nye,LVA,LVA @ NYL,5/17/2025,L,4,28.6,128.6,-100,0.000,0,0.000,0.111,0.000,0.091,0.000,0.000,0.000,0.200,85.1,70.9,-29.2,2
Chelsea Gray,LVA,LVA @ LAS,9/11/2025,W,33,123.5,79.4,44.1,0.385,5,0.455,0.057,0.111,0.085,0.091,0.750,0.750,0.154,100.4,83.7,18.7,2
Chelsea Gray,LVA,LVA vs. CHI,9/9/2025,W,29,109.8,92.3,17.5,0.313,2.5,0.294,0.045,0.179,0.120,0.118,0.500,0.500,0.218,86.7,72.2,14.9,2
Chelsea Gray,LVA,LVA vs. CHI,9/7/2025,W,32,107.9,78.1,29.8,0.174,1.33,0.250,0.000,0.143,0.076,0.188,0.722,0.722,0.169,95.0,79.1,13.2,2
Chelsea Gray,LVA,LVA vs. MIN,9/4/2025,W,34,127.3,120.6,6.7,0.357,2.5,0.357,0.000,0.069,0.036,0.143,0.423,0.468,0.250,95.1,79.3,7,2
Chelsea Gray,LVA,LVA @ ATL,8/27/2025,W,33,106.7,111.5,-4.8,0.250,2.5,0.278,0.000,0.088,0.048,0.111,0.591,0.612,0.203,88.9,74.1,9.9,2
Chelsea Gray,LVA,LVA @ CHI,8/25/2025,W,36,111.6,95.7,15.9,0.280,1.75,0.333,0.032,0.079,0.058,0.190,0.700,0.700,0.192,93.6,78.0,11,2
Chelsea Gray,LVA,LVA @ WAS,8/23/2025,W,34,119.7,95.6,24.1,0.276,4,0.571,0.000,0.154,0.090,0.143,0.333,0.525,0.086,93.6,78.0,9.5,2
Chelsea Gray,LVA,LVA vs. PHX,8/21/2025,W,33,112.9,88.7,24.2,0.167,4,0.286,0.000,0.073,0.041,0.071,0.667,0.667,0.145,91.0,75.8,14,2
Chelsea Gray,LVA,LVA vs. ATL,8/19/2025,W,36,98.5,94.2,4.3,0.458,5.5,0.524,0.000,0.184,0.101,0.095,0.438,0.474,0.132,90.5,75.4,17.2,2
Chelsea Gray,LVA,LVA vs. DAL,8/17/2025,W,32,140.3,100,40.3,0.560,14,0.667,0.037,0.029,0.033,0.048,0.583,0.683,0.103,95.9,79.9,14.4,2
Chelsea Gray,LVA,LVA @ PHX,8/15/2025,W,36,117.1,102.8,14.4,0.375,9,0.375,0.000,0.056,0.029,0.042,0.455,0.587,0.188,95.9,79.9,16,2
Chelsea Gray,LVA,LVA vs. NYL,8/13/2025,W,39,112.5,106.9,5.6,0.250,2.5,0.263,0.000,0.029,0.013,0.105,0.500,0.547,0.157,88.6,73.9,9.8,2
Chelsea Gray,LVA,LVA vs. CON,8/10/2025,W,31,114.8,96.8,18,0.250,3,0.429,0.000,0.077,0.034,0.143,0.500,0.518,0.104,95.7,79.8,5,2
Chelsea Gray,LVA,LVA vs. SEA,8/8/2025,W,34,120.6,104.5,16.1,0.200,1,0.278,0.000,0.071,0.034,0.278,0.667,0.752,0.165,95.5,79.6,9.4,2
Chelsea Gray,LVA,LVA @ GSV,8/6/2025,W,33,114.8,98.4,16.4,0.143,3,0.231,0.000,0.250,0.138,0.077,0.375,0.410,0.141,90.2,75.2,9.1,2
Chelsea Gray,LVA,LVA vs. GSV,8/3/2025,W,30,131,98.3,32.7,0.250,0.86,0.286,0.061,0.088,0.075,0.333,0.563,0.619,0.203,94.6,78.8,8.6,2
Chelsea Gray,LVA,LVA vs. MIN,8/2/2025,L,21,79.1,145.5,-66.4,0.308,4,0.364,0.000,0.182,0.059,0.091,0.250,0.250,0.146,101.1,84.3,2,2
Chelsea Gray,LVA,LVA @ LAS,7/29/2025,W,35,111,83.3,27.6,0.250,2,0.471,0.000,0.073,0.038,0.235,0.300,0.425,0.105,99.0,82.5,7.8,2
Chelsea Gray,LVA,LVA @ DAL,7/27/2025,W,28,129.3,96.4,32.9,0.348,8,0.421,0.033,0.135,0.090,0.053,0.389,0.484,0.157,97.9,81.6,16.1,2
Chelsea Gray,LVA,LVA @ MIN,7/25/2025,L,22,100,134.1,-34.1,0.000,0,0.000,0.042,0.045,0.043,0.222,0.643,0.643,0.180,95.6,79.6,5.1,2
Chelsea Gray,LVA,LVA @ IND,7/24/2025,L,33,95.5,110.4,-14.9,0.190,0,0.308,0.000,0.091,0.048,0.000,0.333,0.436,0.123,98.0,81.6,8.9,2
Chelsea Gray,LVA,LVA vs. ATL,7/22/2025,W,30,112.3,90.6,21.7,0.200,2.5,0.357,0.040,0.031,0.035,0.143,0.500,0.571,0.129,104.8,87.4,9,2
Chelsea Gray,LVA,LVA @ DAL,7/16/2025,W,25,91.1,114,-23,0.389,2.33,0.467,0.000,0.097,0.048,0.200,0.500,0.615,0.121,106.9,89.1,9.3,2
