player_id,player_name,stat,stat_value_player_on,stat_value_player_off,player_stat_value_diff
1630389,Dana Evans,Short Mid Range % Assisted,0.511,0.583,-0.07
1630389,Dana Evans,Long Mid Range Shot Frequency,0.121,0.124,0
1630389,Dana Evans,Long Mid Range FG%,0.442,0.429,0.01
1630389,Dana Evans,Long Mid % Assisted,0.609,0.611,0
1630389,Dana Evans,Corner 3 Shot Frequency,0.1,0.103,0
1630389,Dana Evans,Corner 3 FG%,0.349,0.368,-0.02
1630389,Dana Evans,Corner 3 % Assisted,1,0.969,0.03
1630389,Dana Evans,Arc 3 Shot Frequency,0.308,0.26,0.05
1630389,Dana Evans,Arc 3 FG%,0.327,0.368,-0.04
1630389,Dana Evans,Arc 3 % Assisted,0.798,0.883,-0.08
1630389,Dana Evans,At Rim or 3pt Shot Frequency,0.544,0.525,0.02
1630389,Dana Evans,Non-Heave Arc 3 FG%,0.329,0.37,-0.04
1630389,Dana Evans,Shot Quality,0.465,0.478,-0.01
1630389,Dana Evans,Shooting Foul Drawn Rate,0.107,0.107,0
1630389,Dana Evans,3pt Shooting Foul Drawn Rate,0.163,0.151,0.01
1630389,Dana Evans,2pt Shooting Foul Drawn Rate,0.015,0.019,0
1630389,Dana Evans,Second Chance Points%,0.11,0.141,-0.03
1630389,Dana Evans,Penalty Points%,0.297,0.207,0.09
1630389,Dana Evans,Penalty Possessions%,0.29,0.19,0.1
1630389,Dana Evans,Avg 2pt Shot Distance,8.439,8.247,0.19
1630389,Dana Evans,Avg 3pt Shot Distance,25.021,24.755,0.27
1630389,Dana Evans,Penalty Efficiency Excluding Last Minute Take Foul Possessions,102.989,121.212,-18.22
1630389,Dana Evans,DReb%,0.702,0.716,-0.01
1630389,Dana Evans,OReb%,0.232,0.281,-0.05
1630389,Dana Evans,Pts per 100 Possessions,100.863,111.969,-11.11
1630389,Dana Evans,Assist Points per 100 Possessions,53.519,65.751,-12.23
1630389,Dana Evans,FTA per 100 Possessions,22.908,24.249,-1.34
1630389,Dana Evans,TOs per 100 Possessions,17.065,16.321,0.74
1630389,Dana Evans,Assists per 100 Possessions,21.846,27.565,-5.72
1630389,Dana Evans,Pts per 100 Possessions - Defense,103.976,102.799,1.18
1630389,Dana Evans,Shot Quality - Defense,0.475,0.482,-0.01
1630389,Dana Evans,3pt FG% - Defense,0.283,0.337,-0.05
1630389,Dana Evans,2pt FG% - Defense,0.518,0.478,0.04
1630389,Dana Evans,eFG% - Defense,0.49,0.488,0
1630389,Dana Evans,3PAr - Defense,0.302,0.358,-0.06
1630389,Dana Evans,At Rim Shot Frequency - Defense,0.243,0.219,0.02
1630389,Dana Evans,At Rim FG% - Defense,0.699,0.599,0.1
1630389,Dana Evans,Short Mid Range Shot Frequency - Defense,0.349,0.315,0.03
1630389,Dana Evans,Short Mid Range FG% - Defense,0.421,0.42,0
1630389,Dana Evans,Long Mid Range Shot Frequency - Defense,0.107,0.108,0
1630389,Dana Evans,Long Mid Range FG% - Defense,0.421,0.4,0.02
1630389,Dana Evans,Corner 3 Shot Frequency - Defense,0.054,0.064,-0.01
1630389,Dana Evans,Corner 3 FG% - Defense,0.394,0.404,-0.01
1630389,Dana Evans,Arc 3 Shot Frequency - Defense,0.248,0.294,-0.05
1630389,Dana Evans,Arc 3 FG% - Defense,0.258,0.323,-0.06
1630389,Dana Evans,Pace,93.074,94.261,-1.19
1630389,Dana Evans,Second Chance Efficiency,106.369,131.466,-25.1
1630389,Dana Evans,Penalty Efficiency,103.204,121.798,-18.59
1630389,Dana Evans,Second Chance Possessions Per 100 Possessions,10.425,12.021,-1.6
1630389,Dana Evans,First Chance Points Per 100 Possessions,89.774,96.166,-6.39
1630389,Dana Evans,Second Chance Points Per 100 Possessions,11.089,15.803,-4.71
1629498,Jackie Young,2pt FGM Assist%,0.588,0.453,0.14
1629498,Jackie Young,Non Putback 2pt FGM Assist%,0.63,0.48,0.15
1629498,Jackie Young,3pt FGM Assist%,0.895,0.842,0.05
1629498,Jackie Young,3pt FG%,0.364,0.316,0.05
1629498,Jackie Young,Non-Heave 3pt FG%,0.365,0.319,0.05
1629498,Jackie Young,2pt FG%,0.502,0.459,0.04
1629498,Jackie Young,eFG%,0.518,0.465,0.05
1629498,Jackie Young,TS%,0.565,0.51,0.05
1629498,Jackie Young,3PAr,0.367,0.433,-0.07
1629498,Jackie Young,% of FG3A Blocked,0.01,0.01,0
1629498,Jackie Young,% of FG2A Blocked,0.053,0.063,-0.01
1629498,Jackie Young,Live Ball TO%,0.526,0.461,0.07
1629498,Jackie Young,DReb% - Missed FTs,0.846,0.8,0.05
1629498,Jackie Young,OReb% - Missed FTs,0.118,0.158,-0.04
1629498,Jackie Young,DReb% - Missed 2s,0.686,0.655,0.03
1629498,Jackie Young,OReb% - Missed 2s,0.279,0.244,0.04
1629498,Jackie Young,DReb% - Missed 3s,0.753,0.714,0.04
1629498,Jackie Young,OReb% - Missed 3s,0.26,0.247,0.01
1629498,Jackie Young,DReb% - Missed FGs,0.713,0.677,0.04
1629498,Jackie Young,OReb% - Missed FGs,0.271,0.246,0.03
1629498,Jackie Young,At Rim OReb%,0.374,0.214,0.16
1629498,Jackie Young,Short Mid-Range OReb%,0.276,0.263,0.01
1629498,Jackie Young,Long Mid-Range OReb%,0.208,0.226,-0.02
1629498,Jackie Young,Arc 3 OReb%,0.243,0.271,-0.03
1629498,Jackie Young,Corner 3 OReb%,0.306,0.18,0.13
1629498,Jackie Young,At Rim DReb%,0.598,0.585,0.01
1629498,Jackie Young,Short Mid-Range DReb%,0.704,0.667,0.04
