player_name,position,position_group,archetype,mpg,elite_count,improvement_count,elite_skills,improvement_areas,metric,percentile,metric_display,metric_category,percentile_tier,metric_order,player_order
Jewell Loyd,G,G,Ball Security Specialist,28.55,1,1,TOV%,AST%,FT_pct_pctile_pos,72,FT%,Shooting,Average (50-74),11,4
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",PER_pctile_pos,30,PER,Overall,Below Avg (25-49),1,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",win_shares_pctile_pos,42,Win Shares,Overall,Below Avg (25-49),2,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",ts_pct_pctile_pos,52,TS%,Efficiency,Average (50-74),3,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",AST_pct_pctile_pos,4,AST%,Playmaking,Weakness (<25),4,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",TOV_pct_pctile_pos,65,TOV%,Playmaking,Average (50-74),5,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",TREB_pct_pctile_pos,61,TREB%,Rebounding,Average (50-74),6,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",STL_pct_pctile_pos,13,STL%,Defense,Weakness (<25),7,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",BLK_pct_pctile_pos,75,BLK%,Defense,Above Avg (75-89),8,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",player_def_rtg_pctile_pos,55,Def Rating,Defense,Average (50-74),9,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",three_pt_rate_pctile_pos,16,3PT Rate,Shooting,Weakness (<25),10,5
NaLyssa Smith,F,F,Paint Presence,22.82,0,4,None,"AST%, STL%, 3p_rate, FT%",FT_pct_pctile_pos,6,FT%,Shooting,Weakness (<25),11,5
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",PER_pctile_pos,27,PER,Overall,Below Avg (25-49),1,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",win_shares_pctile_pos,35,Win Shares,Overall,Below Avg (25-49),2,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",ts_pct_pctile_pos,19,TS%,Efficiency,Weakness (<25),3,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",AST_pct_pctile_pos,45,AST%,Playmaking,Below Avg (25-49),4,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",TOV_pct_pctile_pos,82,TOV%,Playmaking,Above Avg (75-89),5,6
